ticker,date,signal,price,regime_bull,rsi_score,trend_score,vol_score,vol_regime,liq_score,macd,score_v1,score_no_trend,score_rsi_only,score_trend_only,score_liq_trend,cj5,cj10,cj20,cj30
BNBC,2016-06-03,EVITER,195000.0,0,41.0,15.6,3.1,77.6,7.6,0,27,38,41,16,12,0.0,1.0,1.0,1.0
BNBC,2016-06-06,EVITER,195000.0,0,41.0,23.4,1.1,77.6,7.4,0,29,37,41,23,15,1.0,1.0,0.0,1.0
BNBC,2016-06-07,EVITER,195000.0,0,36.9,23.9,0.5,79.1,7.4,0,29,36,37,24,16,1.0,1.0,1.0,1.0
BNBC,2016-06-13,EVITER,192080.0,0,8.9,21.1,6.2,83.7,6.9,0,24,33,9,21,14,0.0,0.0,1.0,1.0
BNBC,2016-06-14,EVITER,192080.0,0,14.0,22.0,0.0,89.7,6.9,0,25,33,14,22,14,0.0,0.0,1.0,1.0
BNBC,2016-06-15,EVITER,190000.0,0,7.2,18.4,16.1,89.5,7.1,0,26,38,7,18,13,0.0,0.0,1.0,1.0
BNBC,2016-06-16,EVITER,192080.0,0,10.6,24.8,7.2,89.2,7.1,0,27,35,11,25,16,0.0,0.0,1.0,1.0
BNBC,2016-06-17,EVITER,192080.0,0,11.4,26.1,0.0,89.9,7.1,0,26,33,11,26,17,0.0,1.0,1.0,1.0
BNBC,2016-07-14,EVITER,180000.0,0,23.4,15.7,0.0,90.7,0.8,0,25,36,23,16,8,1.0,1.0,1.0,1.0
BNBC,2016-07-15,EVITER,170000.0,0,16.4,0.0,5.6,85.9,0.7,0,18,35,16,0,0,1.0,1.0,1.0,1.0
BNBC,2016-07-20,EVITER,166000.0,0,8.5,0.0,59.3,85.0,1.1,0,29,54,9,0,1,1.0,1.0,0.0,0.0
BNBC,2016-07-21,EVITER,166000.0,0,8.5,0.0,4.5,85.0,0.9,0,16,32,9,0,0,1.0,1.0,0.0,1.0
BNBC,2016-07-22,EVITER,153550.0,0,6.6,0.0,22.2,78.9,0.9,0,19,37,7,0,0,0.0,0.0,0.0,0.0
BNBC,2016-07-27,EVITER,155005.0,0,3.9,0.0,64.4,82.8,3.0,0,29,54,4,0,2,0.0,0.0,0.0,0.0
BNBC,2016-07-28,EVITER,155005.0,0,4.3,0.0,0.0,84.4,3.0,0,14,29,4,0,2,0.0,0.0,0.0,0.0
BNBC,2016-07-29,EVITER,155005.0,0,5.2,0.0,0.0,87.1,3.0,0,14,30,5,0,2,0.0,0.0,0.0,0.0
BNBC,2016-08-01,EVITER,155005.0,0,5.2,0.0,0.0,87.1,3.0,0,14,30,5,0,1,0.0,0.0,0.0,0.0
BNBC,2016-08-02,EVITER,162000.0,0,24.2,11.7,1.3,84.6,3.0,0,23,35,24,12,7,0.0,0.0,0.0,0.0
BNBC,2016-08-03,EVITER,161000.0,0,23.5,12.7,6.8,84.1,2.9,1,24,37,24,13,8,0.0,0.0,0.0,0.0
