ticker,action,cours_act,cours_pot,rendement,potential,var_sem
STBC,BUY,23200,27555,7.36,18.77,0.04
SDCC,HOLD,11900,13040,6.79,9.58,0.63
ABJC,HOLD,3000,3250,2.59,8.33,-4.61
SNTS,REDUCE,31000,31000,5.61,0.00,-1.57
NEIC,REDUCE,2280,2265,5.47,-0.66,1.33
SOGC,REDUCE,8305,8090,6.04,-2.59,1.03
SGBC,REDUCE,38000,36990,5.77,-2.66,0.00
SLBC,REDUCE,37750,36555,6.00,-3.17,-4.42
CFAC,REDUCE,1430,1340,3.88,-6.29,-9.21
SPHC,REDUCE,7565,6940,4.77,-8.26,-0.46
TTLS,SELL,3655,3180,5.39,-13.00,-2.53
BICB,SELL,7585,6565,5.12,-13.45,-0.39
BICC,SELL,28670,23975,5.97,-16.38,1.29
PALC,SELL,9000,7480,5.15,-16.89,3.45
ORAC,SELL,16995,13925,5.08,-18.06,1.61
CIEC,SELL,5000,3985,4.94,-20.30,-5.66
TTLC,SELL,2975,2320,4.84,-22.02,-0.67
SMBC,SELL,15495,11535,4.62,-25.56,-3.16
ECOC,SELL,16230,11920,4.88,-26.56,-0.09
CBIBF,?,28000,20050,4.44,-28.39,3.70
LNBB,SELL,4500,3055,3.82,-28.87,4.53
ONTBF,SELL,2995,2130,4.41,-28.88,6.96
SIBC,SELL,9000,6335,4.37,-29.61,1.12
NSBC,SELL,24000,16550,4.28,-31.04,2.56
PRSC,?,4515,2965,4.75,-34.33,-2.06
SHEC,SELL,2200,1375,3.72,-37.50,0.23
SDSC,?,2690,1485,3.42,-44.80,-2.54
CABC,SELL,3500,1635,2.90,-53.29,-7.77
NTLC,SELL,16500,7305,3.47,-55.73,0.06
ETIT,SELL,66,16,1.50,-75.76,-9.59
