ticker,fiscal_year,exploitable,raison_non_exploitable,date_annonce,date_ex,date_paiement,montant,yield_pct,source_montant,n_ex_div_doublons_ignores,prix_annonce,prix_veille_ex,prix_jour_ex,prix_paiement,variation_annonce_a_veille_ex_pct,chute_reelle_fcfa,chute_reelle_pct_du_dividende,variation_ex_a_paiement_pct,variation_totale_annonce_a_paiement_pct,volume_moyen_avant_annonce,volume_moyen_annonce_a_ex,volume_moyen_ex_a_paiement
ABJC,,False,aucun événement dividende (AG/EX_DIVIDEND) trouvé pour ce ticker,,,,,,,,,,,,,,,,,,,
BICB,,False,aucun événement dividende (AG/EX_DIVIDEND) trouvé pour ce ticker,,,,,,,,,,,,,,,,,,,
BICC,2021,False,montant dividende introuvable (ni DIVIDEND ni DIVIDEND_HISTORY),2022-06-23,2022-07-13,2022-07-15,,,,1,,,,,,,,,,,,
BICC,2022,False,montant dividende introuvable (ni DIVIDEND ni DIVIDEND_HISTORY),2023-06-27,2023-07-27,2023-07-31,,,,1,,,,,,,,,,,,
BICC,2023,False,montant dividende introuvable (ni DIVIDEND ni DIVIDEND_HISTORY),2024-05-27,2024-06-25,2024-06-27,,,,1,,,,,,,,,,,,
BICC,2024,False,montant dividende introuvable (ni DIVIDEND ni DIVIDEND_HISTORY),2025-04-14,2025-05-21,2025-05-23,,,,1,,,,,,,,,,,,
BICC,2025,False,montant dividende introuvable (ni DIVIDEND ni DIVIDEND_HISTORY),2026-05-04,2026-07-03,2026-07-06,,,,1,,,,,,,,,,,,
BNBC,2022,False,montant dividende introuvable (ni DIVIDEND ni DIVIDEND_HISTORY),2023-06-08,2023-07-20,2023-07-24,,,,0,,,,,,,,,,,,
BOAB,2021,True,,2022-04-13,2022-05-23,2022-05-25,273.0,10.3,DIVIDEND_HISTORY,1,3305.0,3190.0,3190.0,2950.0,-3.48,0.0,0.0,-7.52,-10.74,741.0,1795.0,311
BOAB,2022,True,,2023-04-14,2023-05-23,2023-05-25,353.0,11.87,DIVIDEND_HISTORY,1,3097.5,3175.0,2907.5,2900.0,2.5,267.5,75.8,-0.26,-6.38,344.0,1575.0,1684
BOAB,2023,True,,2024-04-12,2024-05-23,2024-05-27,468.0,14.72,DIVIDEND_HISTORY,1,3490.0,3645.0,3497.5,3525.0,4.44,147.5,31.5,0.79,1.0,3076.0,2689.0,6459.0
