EXPLORATION FACTUELLE — FENÊTRE ±60J AUTOUR DU PAIEMENT DE DIVIDENDE
======================================================================
123/150 cycles exploitables sur 49 tickers

Variation totale (J-60 à J+60)  : médiane=+2.9%, moyenne=+6.2% (n=123)
Variation avant (J-60 à J-1)     : médiane=+2.5%, moyenne=+3.5% (n=92)
Variation après (J0 à J+60)      : médiane=+0.2%, moyenne=+2.8% (n=118)
Ratio volume après/avant          : médiane=0.97x, moyenne=1.24x (n=120)

Détail par cycle exploitable :
----------------------------------------------------------------------
BICC     FY2021   paiement=2022-07-15 div=NoneF (None) | avant=+4.2% après=-0.2% total=+11.7% vol_ratio=0.87x
BICC     FY2022   paiement=2023-07-31 div=NoneF (None) | avant=N/A après=+1.4% total=+2.9% vol_ratio=1.71x
BICC     FY2023   paiement=2024-06-27 div=NoneF (None) | avant=+44.1% après=-0.1% total=+34.6% vol_ratio=3.16x
BICC     FY2024   paiement=2025-05-23 div=NoneF (None) | avant=+4.6% après=-4.6% total=+3.1% vol_ratio=1.61x
BICC     FY2025   paiement=2026-07-06 div=NoneF (None) | avant=+17.5% après=-4.4% total=+12.4% vol_ratio=1.38x
BNBC     FY2022   paiement=2023-07-24 div=NoneF (None) | avant=N/A après=-8.2% total=-2.0% vol_ratio=1.44x
BOAB     FY2021   paiement=2022-05-25 div=273.0F (DIVIDEND_HISTORY) | avant=-9.8% après=+5.0% total=-6.8% vol_ratio=0.91x
BOAB     FY2022   paiement=2023-05-25 div=353.0F (DIVIDEND_HISTORY) | avant=-8.1% après=+5.1% total=-2.5% vol_ratio=3.18x
BOAB     FY2023   paiement=2024-05-27 div=468.0F (DIVIDEND_HISTORY) | avant=N/A après=-4.3% total=-2.0% vol_ratio=0.74x
BOAB     FY2024   paiement=2025-06-03 div=585.0F (DIVIDEND_HISTORY) | avant=-8.3% après=+0.3% total=-7.3% vol_ratio=3.49x
BOAB     FY2025   paiement=2026-05-15 div=585.0F (DIVIDEND) | avant=+22.4% après=-6.5% total=+14.5% vol_ratio=0.67x
