ticker,fiscal_year,exploitable,raison_non_exploitable,date_paiement,date_ex,montant,yield_pct,source_montant,n_jours_avec_prix,prix_debut_fenetre_j_moins_60,prix_veille_paiement_j_moins_1,prix_jour_paiement_j0,prix_fin_fenetre_j_plus_60,prix_moyen_avant,prix_moyen_apres,variation_totale_pct,variation_avant_pct,variation_apres_pct,volume_moyen_avant,volume_moyen_apres,ratio_volume_apres_sur_avant
ABJC,,False,aucun DIVIDEND_PAYMENT trouvé pour ce ticker,,,,,,,,,,,,,,,,,,
BICB,,False,aucun DIVIDEND_PAYMENT trouvé pour ce ticker,,,,,,,,,,,,,,,,,,
BICC,2021,True,,2022-07-15,2022-07-13,,,,83,6000.0,6250.0,6715.0,6700.0,6199.76,6575.0,11.67,4.17,-0.22,330.0,287.0,0.87
BICC,2022,True,,2023-07-31,2023-07-27,,,,83,6700.0,,6800.0,6895.0,6750.85,6862.32,2.91,,1.4,330.0,564.0,1.71
BICC,2023,True,,2024-06-27,2024-06-25,,,,80,7430.0,10705.0,10005.0,10000.0,9027.69,9719.12,34.59,44.08,-0.05,212.0,671.0,3.16
BICC,2024,True,,2025-05-23,2025-05-21,,,,80,16200.0,16950.0,17500.0,16700.0,15667.12,16722.44,3.09,4.63,-4.57,270.0,436.0,1.61
BICC,2025,True,,2026-07-06,2026-07-03,,,,72,24995.0,29380.0,29380.0,28100.0,27877.03,28355.42,12.42,17.54,-4.36,440.0,609,1.38
BNBC,2022,True,,2023-07-24,2023-07-20,,,,83,1950.0,,2080.0,1910.0,1996.25,1951.31,-2.05,,-8.17,438.0,629.0,1.44
BOAB,2021,True,,2022-05-25,2022-05-23,273.0,10.3,DIVIDEND_HISTORY,80,3325.0,3000.0,2950.0,3097.5,3260.19,3041.06,-6.84,-9.77,5.0,1476.0,1336.0,0.91
BOAB,2022,True,,2023-05-25,2023-05-23,353.0,11.87,DIVIDEND_HISTORY,79,3125.0,2872.5,2900.0,3047.5,3097.76,2907.88,-2.48,-8.08,5.09,1146.0,3643.0,3.18
BOAB,2023,True,,2024-05-27,2024-05-23,468.0,14.72,DIVIDEND_HISTORY,81,3445.0,,3525.0,3375.0,3589.32,3358.2,-2.03,,-4.26,2786.0,2057.0,0.74
BOAB,2024,True,,2025-06-03,2025-05-30,585.0,15.88,DIVIDEND_HISTORY,81,4655.0,4270.0,4300.0,4315.0,4718.46,4418.9,-7.3,-8.27,0.35,8603.0,30047.0,3.49
BOAB,2025,True,,2026-05-15,2026-05-14,585.0,6.22,DIVIDEND,115,7685.0,9410.0,9410.0,8800.0,8122.91,8950.25,14.51,22.45,-6.48,5359.0,3615.0,0.67
BOABF,2021,True,,2022-05-04,2022-04-29,224.0,7.23,DIVIDEND_HISTORY,80,3090.0,2950.0,2925.0,2800.0,3059.55,2712.56,-9.39,-4.53,-4.27,1395.0,1100.0,0.79
BOABF,2022,True,,2023-05-05,2023-05-03,352.0,13.54,DIVIDEND_HISTORY,80,2825.0,2800.0,2800.0,3050.0,2850.69,2827.82,7.96,-0.88,8.93,1707.0,2059.0,1.21
BOABF,2023,True,,2024-05-06,2024-05-02,428.0,12.26,DIVIDEND_HISTORY,81,3500.0,,3297.5,3310.0,3568.72,3266.4,-5.43,,0.38,1204.0,1884.0,1.56
BOABF,2024,True,,2025-04-22,2025-04-17,397.0,13.08,DIVIDEND_HISTORY,79,3495.0,,3895.0,3650.0,4098.72,3555.13,4.43,,-6.29,9075.0,3898.0,0.43
BOABF,2025,True,,2026-04-23,2026-04-22,397.0,7.05,DIVIDEND,108,4625.0,5630.0,5420.0,5595.0,5348.54,5489.49,20.97,21.73,3.23,5792.0,3612.0,0.62
BOAC,2021,True,,2022-04-28,2022-04-26,270.0,4.61,DIVIDEND_HISTORY,81,2732.5,2647.5,,2550.0,2759.05,2540.32,-6.68,-3.11,,2610.0,628.0,0.24
BOAC,2022,True,,2023-04-28,2023-04-26,342.0,9.24,DIVIDEND_HISTORY,81,2132.5,2425.0,2500.0,2775.0,2470.98,2531.28,30.13,13.72,11.0,5221.0,8255.0,1.58
BOAC,2023,True,,2024-04-29,2024-04-25,459.0,13.31,DIVIDEND_HISTORY,81,3600.0,,3420.0,3720.0,3615.5,3528.19,3.33,,8.77,3585.0,2690.0,0.75
BOAC,2024,True,,2025-05-20,2025-05-16,595.0,11.9,DIVIDEND_HISTORY,79,6125.0,6105.0,5990.0,6000.0,6059.61,6023.88,-2.04,-0.33,0.17,5656.0,6835.0,1.21
BOAC,2025,True,,2026-05-06,2026-05-05,594.53,7.0,DIVIDEND,111,8600.0,8850.0,8590.0,9200.0,8656.67,8940.08,6.98,2.91,7.1,18500.0,9609.0,0.52
BOAM,2023,True,,2024-05-21,2024-05-16,237.0,24.12,DIVIDEND_HISTORY,80,1070.0,,1050.0,1066.67,1098.38,1066.43,-0.31,,1.59,1565.0,996.0,0.64
BOAM,2024,True,,2025-06-03,2025-05-30,305.0,16.14,DIVIDEND_HISTORY,81,2400.0,2550.0,2600.0,3390.0,2653.08,3189.51,41.25,6.25,30.38,5849.0,8562.0,1.46
BOAM,2025,True,,2026-06-03,2026-06-02,305.04,6.5,DIVIDEND,105,4685.0,5000.0,,5755.0,4752.17,4915.33,22.84,6.72,,4380.0,6002.0,1.37
BOAN,2021,True,,2022-05-12,2022-05-10,355.0,11.12,DIVIDEND_HISTORY,81,3978.12,4359.38,4350.0,4000.0,4212.58,3991.8,0.55,9.58,-8.05,1360.0,2832.0,2.08
BOAN,2022,True,,2023-05-25,2023-05-23,381.0,10.53,DIVIDEND_HISTORY,79,3856.25,3496.88,3496.88,3693.75,3777.06,3654.14,-4.21,-9.32,5.63,3150.0,1909.0,0.61
BOAN,2023,True,,2024-05-31,2024-05-29,209.0,6.21,DIVIDEND_HISTORY,81,3806.25,3431.25,3406.25,3284.38,3709.06,3304.27,-13.71,-9.85,-3.58,2798.0,2008.0,0.72
BOAN,2024,True,,2025-06-03,2025-05-30,,,,81,2710.0,2600.0,2590.0,2455.0,2716.54,2568.54,-9.41,-4.06,-5.21,3364.0,7923.0,2.36
BOAS,2021,True,,2022-06-01,2022-05-30,125.0,7.98,DIVIDEND_HISTORY,80,1666.67,1566.67,1646.67,1600.0,1602.98,1609.43,-4.0,-6.0,-2.83,2295.0,2356.0,1.03
BOAS,2022,True,,2023-06-01,2023-05-30,200.0,12.24,DIVIDEND_HISTORY,79,1466.67,1716.67,1716.67,1923.33,1643.06,1838.86,31.14,17.05,12.04,2668.0,2958.0,1.11
BOAS,2023,True,,2024-06-27,2024-06-25,350.0,16.41,DIVIDEND_HISTORY,80,2390.0,2546.67,2566.67,3200.0,2607.52,2946.33,33.89,6.56,24.68,1702.0,2409.0,1.41
