ticker,date,signal,score,market_regime,liquidity_tier,confidence,regime_bull,vol_20d,price_signal,cj5,cj10,cj20,cj30,cj60,cj90
SDSC,2026-04-03,EVITER,15,UNKNOWN,liquid,60,0,5702.2,1855.0,0,0,1,1.0,,
SPHC,2026-04-03,EVITER,27,UNKNOWN,liquid,60,0,3703.45,7040.0,0,0,0,1.0,,
BOAN,2026-04-03,EVITER,35,UNKNOWN,liquid,60,0,10140.35,2660.0,0,0,0,0.0,,
SIVC,2026-04-03,ACHAT,72,UNKNOWN,liquid,100,0,8627.05,2930.0,1,1,0,0.0,,
CBIBF,2026-04-03,ACHAT,83,UNKNOWN,liquid,100,0,3008.2,14885.0,1,1,1,1.0,,
PALC,2026-04-03,EVITER,26,UNKNOWN,liquid,60,0,3280.0,8150.0,0,0,1,1.0,,
NTLC,2026-04-03,EVITER,39,UNKNOWN,liquid,60,0,3140.65,12450.0,1,1,1,1.0,,
SCRC,2026-04-03,EVITER,27,UNKNOWN,liquid,60,0,3024.9,1810.0,0,0,0,0.0,,
BOABF,2026-04-03,ACHAT,73,UNKNOWN,liquid,87,0,8099.25,5600.0,1,1,0,1.0,,
TTLS,2026-04-03,ACHAT,65,UNKNOWN,liquid,87,0,2436.1,3350.0,1,0,0,0.0,,
SOGC,2026-04-03,EVITER,34,UNKNOWN,liquid,60,0,3011.95,7690.0,0,0,0,1.0,,
ORGT,2026-04-03,EVITER,5,UNKNOWN,liquid,60,0,5305.85,3660.0,1,1,1,1.0,,
SEMC,2026-04-06,EVITER,39,UNKNOWN,illiquid,60,0,10631.75,1980.0,1,1,1,1.0,,
NTLC,2026-04-06,EVITER,35,UNKNOWN,prestige,60,0,3060.05,12300.0,1,1,0,1.0,,
ETIT,2026-04-06,ACHAT,80,UNKNOWN,liquid,73,0,1411986.0,32.0,1,0,0,0.0,,
SHEC,2026-04-06,ACHAT,71,UNKNOWN,liquid,87,0,5884.85,2200.0,0,0,0,0.0,,
ORGT,2026-04-06,EVITER,19,UNKNOWN,liquid,73,0,5283.25,3660.0,1,1,1,1.0,,
SNTS,2026-04-06,ACHAT,74,UNKNOWN,prestige,87,0,5942.65,29000.0,0,0,0,0.0,,
SDSC,2026-04-06,EVITER,26,UNKNOWN,liquid,60,0,6022.85,1860.0,0,0,1,1.0,,
ORAC,2026-04-06,EVITER,37,UNKNOWN,prestige,60,0,3454.9,14550.0,0,0,0,0.0,,
SGBC,2026-04-06,EVITER,37,UNKNOWN,prestige,60,0,1722.85,34200.0,1,1,0,1.0,,
PALC,2026-04-06,EVITER,31,UNKNOWN,prestige,60,0,2959.8,8150.0,0,1,1,1.0,,
SOGC,2026-04-06,EVITER,35,UNKNOWN,liquid,60,0,3002.35,7710.0,0,0,1,1.0,,
BOABF,2026-04-06,ACHAT,67,UNKNOWN,liquid,87,0,7344.3,5590.0,1,1,0,0.0,,
