ticker,fiscal_year,date_annonce,date_ex,date_paiement,duree_jours,dividende,yield_pct,rendement_cycle,benchmark_cycle,alpha_cycle,chute_ex_pct,statut_cotation_ex,n_benchmark,delai_ag_ex_jours,volume_moyen_avant_annonce
BOAB,2021,2022-04-13,2022-05-23,2022-05-25,42,273.0,10.3,-2.4811,-3.5227,1.0416,0.0,COTE_AVEC_VARIATION,43,40,741.0
BOAB,2022,2023-04-14,2023-05-23,2023-05-25,41,353.0,11.87,5.0202,-2.1947,7.2148,75.8,COTE_AVEC_VARIATION,46,39,344.0
BOAB,2023,2024-04-12,2024-05-23,2024-05-27,45,468.0,14.72,14.4126,3.6905,10.7221,31.5,COTE_AVEC_VARIATION,40,41,3076.0
BOAB,2024,2025-04-02,2025-05-30,2025-06-03,62,585.0,15.88,3.7155,9.1773,-5.4618,0.0,COTE_AVEC_VARIATION,41,58,8293
BOAB,2025,2026-04-30,2026-05-14,2026-05-15,15,585.0,6.22,12.2403,0.1819,12.0584,1.7,COTE_AVEC_VARIATION,48,14,6143.0
BOABF,2021,2022-03-29,2022-04-29,2022-05-04,36,224.0,7.23,3.2459,-0.9919,4.2378,0.0,COTE_AVEC_VARIATION,43,31,298.0
BOABF,2022,2023-03-30,2023-05-03,2023-05-05,36,352.0,13.54,10.8883,-1.0186,11.9069,28.4,COTE_AVEC_VARIATION,46,34,1063.0
BOABF,2023,2024-03-28,2024-05-02,2024-05-06,39,428.0,12.26,4.2098,0.5972,3.6126,0.0,COTE_AVEC_VARIATION,40,35,1556.0
BOABF,2024,2025-03-17,2025-04-17,2025-04-22,36,397.0,13.08,-0.4176,0.3951,-0.8128,73.0,COTE_AVEC_VARIATION,41,31,9921.0
BOABF,2025,2026-03-23,2026-04-22,2026-04-23,31,397.0,7.05,7.8221,0.489,7.3331,3.8,COTE_AVEC_VARIATION,48,30,9204.0
BOAC,2021,2022-03-31,2022-04-26,2022-04-28,28,270.0,4.61,8.1557,0.6459,7.5098,13.9,COTE_AVEC_VARIATION,43,26,4379.0
BOAC,2022,2023-03-29,2023-04-26,2023-04-28,30,342.0,9.24,11.3418,-1.68,13.0218,73.8,COTE_AVEC_VARIATION,46,28,5732.0
BOAC,2023,2024-03-28,2024-04-25,2024-04-29,32,459.0,13.31,6.7125,0.9988,5.7138,27.8,COTE_AVEC_VARIATION,40,28,2134.0
BOAC,2024,2025-04-16,2025-05-16,2025-05-20,34,595.0,11.9,9.75,7.7242,2.0258,22.7,COTE_AVEC_VARIATION,41,30,5157.0
BOAC,2025,2026-04-15,2026-05-05,2026-05-06,21,594.53,7.0,8.0533,-2.511,10.5643,57.2,COTE_AVEC_VARIATION,48,20,27222.0
BOAM,2023,2024-04-23,2024-05-16,2024-05-21,28,237.0,24.12,19.5352,0.7859,18.7493,35.2,COTE_AVEC_VARIATION,40,23,831.0
BOAM,2024,2025-04-10,2025-05-30,2025-06-03,54,305.0,16.14,16.2,9.8429,6.3571,0.0,COTE_AVEC_VARIATION,41,50,9039.0
BOAM,2025,2026-04-14,2026-06-02,2026-06-03,50,305.04,6.5,15.8306,4.5311,11.2995,82.0,COTE_AVEC_VARIATION,48,49,5396.0
BOAN,2021,2022-03-30,2022-05-10,2022-05-12,43,355.0,11.12,14.1469,-2.5355,16.6825,16.7,COTE_AVEC_VARIATION,43,41,1338.0
BOAN,2022,2023-03-30,2023-05-23,2023-05-25,56,381.0,10.53,1.7149,-2.2882,4.0031,74.6,COTE_AVEC_VARIATION,46,54,1428.0
BOAN,2023,2024-04-04,2024-05-29,2024-05-31,57,209.0,6.21,-3.5933,2.7794,-6.3727,121.1,COTE_AVEC_VARIATION,40,55,2373
BOAS,2021,2022-04-15,2022-05-30,2022-06-01,47,125.0,7.98,8.4698,-1.7115,10.1813,0.0,COTE_AVEC_VARIATION,43,45,2564.0
BOAS,2022,2023-03-31,2023-05-30,2023-06-01,62,200.0,12.24,30.98,-3.4028,34.3828,0.0,COTE_AVEC_VARIATION,46,60,2997.0
BOAS,2023,2024-04-18,2024-06-25,2024-06-27,70,350.0,16.41,22.3779,5.6065,16.7714,55.2,COTE_AVEC_VARIATION,40,68,3136.0
BOAS,2024,2025-04-08,2025-05-28,2025-06-02,55,450.0,14.29,3.7383,9.4719,-5.7336,24.4,COTE_AVEC_VARIATION,41,50,6147.0
BOAS,2025,2026-04-30,2026-05-29,2026-06-01,32,450.0,6.63,15.0,5.0742,9.9258,10.0,COTE_AVEC_VARIATION,48,29,5046.0
CABC,2021,2022-04-07,2022-07-29,2022-08-02,117,69.0,6.8,6.2727,-1.1826,7.4553,65.2,COTE_AVEC_VARIATION,43,113,1340.0
CABC,2025,2026-04-27,2026-05-29,2026-06-01,35,152.02,4.35,1.445,6.5554,-5.1104,-32.9,COTE_AVEC_VARIATION,48,32,4055
CBIBF,2021,2022-04-07,2022-07-04,2022-07-06,90,525.0,5.0,-3.8285,1.3439,-5.1724,0.0,COTE_AVEC_VARIATION,43,88,368.0
CBIBF,2022,2023-04-17,2023-07-04,2023-07-06,80,790.0,9.42,13.5169,-0.2865,13.8034,0.6,COTE_AVEC_VARIATION,46,78,507.0
CBIBF,2023,2024-04-12,2024-07-03,2024-07-05,84,555.0,5.97,21.2155,5.922,15.2935,81.1,COTE_AVEC_VARIATION,40,82,2297.0
CBIBF,2024,2025-04-29,2025-07-03,2025-07-07,69,900.0,9.1,9.7449,12.7197,-2.9748,43.9,COTE_AVEC_VARIATION,42,65,1218.0
CBIBF,2025,2026-04-16,2026-06-18,2026-06-19,64,900.0,4.05,48.4076,12.4946,35.9131,-35.0,COTE_AVEC_VARIATION,48,63,951.0
CFAC,2021,2022-06-21,2022-07-29,2022-08-02,42,29.0,2.41,-0.1156,0.0289,-0.1445,69.0,COTE_AVEC_VARIATION,43,38,5684.0
CFAC,2022,2023-06-27,2023-09-13,2023-09-15,80,16.0,1.71,13.7888,4.1383,9.6505,156.2,COTE_AVEC_VARIATION,46,78,1547.0
CFAC,2023,2024-06-27,2024-08-28,2024-08-30,64,7.0,0.84,3.2836,8.3732,-5.0896,-357.1,COTE_AVEC_VARIATION,40,62,1536.0
CIEC,2021,2022-06-20,2022-07-21,2022-07-25,35,158.0,8.31,1.617,0.4556,1.1614,-3.2,COTE_AVEC_VARIATION,43,31,2390.0
CIEC,2022,2023-06-20,2023-07-27,2023-07-31,41,171.0,8.59,13.9904,4.7057,9.2847,11.7,COTE_AVEC_VARIATION,46,37,881.0
CIEC,2023,2024-06-26,2024-07-26,2024-07-30,34,158.0,9.32,2.8571,2.7206,0.1366,63.3,COTE_AVEC_VARIATION,40,30,4422.0
CIEC,2025,2026-06-24,2026-06-30,2026-07-01,7,234.0,4.38,11.0911,2.4494,8.6417,-38.5,COTE_AVEC_VARIATION,48,6,4622.0
ECOC,2021,2022-04-05,2022-04-26,2022-04-29,24,549.0,11.47,4.88,1.8267,3.0533,51.0,COTE_AVEC_VARIATION,43,21,4964.0
ECOC,2022,2023-04-26,2023-05-25,2023-05-30,34,594.0,12.01,9.1822,-1.523,10.7052,33.7,COTE_AVEC_VARIATION,46,29,6340.0
ECOC,2023,2024-04-25,2024-05-28,2024-05-30,35,708.0,10.41,16.058,1.8272,14.2307,15.5,COTE_AVEC_VARIATION,40,33,2879.0
ECOC,2024,2025-04-29,2025-05-27,2025-05-30,31,781.0,8.88,20.637,7.0123,13.6247,103.1,COTE_AVEC_VARIATION,42,28,778
ECOC,2025,2026-04-24,2026-05-21,2026-05-22,28,888.0,5.45,7.425,4.2199,3.2051,0.0,COTE_SANS_VARIATION,46,27,1235.0
FTSC,2023,2024-06-20,2024-09-26,2024-09-30,102,1727.0,93.83,232.863,12.2549,220.608,2.7,COTE_AVEC_VARIATION,40,98,3547.0
NSBC,2022,2023-05-19,2023-07-05,2023-07-07,49,455.0,7.62,16.3725,1.3841,14.9884,2.2,COTE_AVEC_VARIATION,46,47,377.0
NSBC,2023,2024-05-23,2024-07-04,2024-07-08,46,671.0,11.18,17.6034,3.8454,13.758,2.2,COTE_AVEC_VARIATION,40,42,665.0
NSBC,2024,2025-05-26,2025-07-07,2025-07-09,44,676.0,9.53,20.2796,4.1334,16.1461,0.0,COTE_AVEC_VARIATION,42,42,2344.0
NTLC,2021,2022-05-20,2022-07-29,2022-08-02,74,728.0,15.81,7.4714,1.6865,5.785,88.6,COTE_AVEC_VARIATION,43,70,597.0
NTLC,2022,2023-05-12,2023-08-03,2023-08-08,88,675.0,8.19,17.6284,2.9649,14.6635,29.6,COTE_AVEC_VARIATION,46,83,2064.0
NTLC,2023,2024-06-11,2024-08-16,2024-08-20,70,722.0,9.78,5.3636,5.5181,-0.1545,0.0,COTE_AVEC_VARIATION,40,66,4295.0
NTLC,2024,2025-06-12,2025-08-13,2025-08-18,67,370.0,4.64,10.2632,9.759,0.5041,110.8,COTE_AVEC_VARIATION,42,62,1912.0
ONTBF,2021,2022-05-12,2022-06-13,2022-06-15,34,288.0,7.3,9.418,1.0428,8.3752,0.0,COTE_AVEC_VARIATION,43,32,11110.0
ONTBF,2022,2023-05-09,2023-06-22,2023-06-26,48,266.0,8.33,12.3202,-0.9249,13.2451,-3.2,COTE_AVEC_VARIATION,46,44,9749.0
ONTBF,2023,2024-06-24,2024-07-29,2024-07-31,37,195.0,8.55,16.5723,2.6901,13.8822,0.0,COTE_AVEC_VARIATION,40,35,10416.0
ONTBF,2024,2025-05-28,2025-07-17,2025-07-21,54,145.0,6.33,7.6305,6.1021,1.5284,20.7,COTE_AVEC_VARIATION,42,50,10934
ONTBF,2025,2026-04-29,2026-06-12,2026-06-15,47,145.32,5.36,9.6415,11.1785,-1.5371,0.0,COTE_SANS_VARIATION,48,44,2770.0
