ticker,fiscal_year,annee_ex,duree_jours,prix_annonce,contrib_div_pts,alpha_pub,alpha_pp,ecart_c1
BOAB,2021,2022,42.0,3305.0,8.2602,1.0416,-7.2186,0.0
BOAB,2022,2023,41.0,3097.5,11.3963,7.2148,-4.1815,-0.0
BOAB,2023,2024,45.0,3490.0,13.4097,10.7221,-2.6876,0.0
BOAB,2024,2025,62.0,4710.0,12.4204,-5.4618,-17.8822,-0.0
BOAB,2025,2026,15.0,8905.0,6.5693,12.0584,5.4891,0.0
BOABF,2021,2022,36.0,3050.0,7.3443,4.2378,-3.1065,0.0
BOABF,2022,2023,36.0,2842.5,12.3835,11.9069,-0.4766,0.0
BOABF,2023,2024,39.0,3575.0,11.972,3.6126,-8.3594,-0.0
BOABF,2024,2025,36.0,4310.0,9.2111,-0.8128,-10.0239,-0.0
BOABF,2025,2026,31.0,5415.0,7.3315,7.3331,0.0016,-0.3983
BOAC,2021,2022,28.0,2697.5,10.0093,7.5098,-2.4995,-0.0927
BOAC,2022,2023,30.0,2552.5,13.3986,13.0218,-0.3768,0.0
BOAC,2023,2024,32.0,3635.0,12.6272,5.7138,-6.9134,0.0
BOAC,2024,2025,34.0,6000.0,9.9167,2.0258,-7.8909,0.0
BOAC,2025,2026,21.0,8500.0,6.9945,10.5643,3.5698,-0.0
BOAM,2023,2024,28.0,1076.67,22.0123,18.7493,-3.263,0.0
BOAM,2024,2025,54.0,2500.0,12.2,6.3571,-5.8429,0.0
BOAM,2025,2026,50.0,4580.0,6.6603,11.2995,4.6392,-6.7686
BOAN,2021,2022,43.0,4121.88,8.6126,16.6825,8.0699,0.0
BOAN,2022,2023,56.0,3812.5,9.9934,4.0031,-5.9903,-0.0
BOAN,2023,2024,57.0,3750.0,5.5733,-6.3727,-11.946,-0.0
BOAS,2021,2022,47.0,1633.33,7.6531,10.1813,2.5282,0.0
BOAS,2022,2023,62.0,1463.33,13.6675,34.3828,20.7153,0.0
BOAS,2023,2024,70.0,2383.33,14.6853,16.7714,2.0861,0.0
BOAS,2024,2025,55.0,4280.0,10.514,-5.7336,-16.2476,0.0
BOAS,2025,2026,32.0,7000.0,6.4286,9.9258,3.4972,0.0
CABC,2021,2022,117.0,1100.0,6.2727,7.4553,1.1826,0.0
CABC,2025,2026,35.0,3600.0,4.2228,-5.1104,-9.3332,0.0
CBIBF,2021,2022,90.0,9795.0,5.3599,-5.1724,-10.5323,0.0
CBIBF,2022,2023,80.0,7990.0,9.8874,13.8034,3.916,-0.0
CBIBF,2023,2024,84.0,9050.0,6.1326,15.2935,9.1609,-0.0
CBIBF,2024,2025,69.0,9800.0,9.1837,-2.9748,-12.1585,-0.0
CBIBF,2025,2026,64.0,15700.0,5.7325,35.9131,30.1806,0.0
CFAC,2021,2022,42.0,865.0,3.3526,-0.1445,-3.4971,-0.0
CFAC,2022,2023,80.0,805.0,1.9876,9.6505,7.6629,0.0
CFAC,2023,2024,64.0,670.0,1.0448,-5.0896,-6.1344,-0.0
CIEC,2021,2022,35.0,2350.0,6.7234,1.1614,-5.562,0.0
CIEC,2022,2023,41.0,2080.0,8.2212,9.2847,1.0635,-0.0
CIEC,2023,2024,34.0,2030.0,7.7833,0.1366,-7.6467,0.0
CIEC,2025,2026,7.0,4995.0,4.6847,8.6417,3.957,-0.0
ECOC,2021,2022,24.0,5000.0,10.98,3.0533,-7.9267,0.0
ECOC,2022,2023,34.0,5380.0,11.0409,10.7052,-0.3357,-0.0
ECOC,2023,2024,35.0,6900.0,10.2609,14.2307,3.9698,-0.0
ECOC,2024,2025,31.0,9890.0,7.8969,13.6247,5.7278,0.0
ECOC,2025,2026,28.0,16000.0,5.55,3.2051,-2.3449,0.0
FTSC,2023,2024,102.0,770.35,224.1838,220.608,-3.5758,-0.0
NSBC,2022,2023,49.0,5100.0,8.9216,14.9884,6.0668,0.0
NSBC,2023,2024,46.0,5800.0,11.569,13.758,2.189,0.0
NSBC,2024,2025,44.0,8585.0,7.8742,16.1461,8.2719,-0.0
NTLC,2021,2022,74.0,7000.0,10.4,5.785,-4.615,0.0
NTLC,2022,2023,88.0,7885.0,8.5606,14.6635,6.1029,0.0
NTLC,2023,2024,70.0,7495.0,9.6331,-0.1545,-9.7876,-0.0
NTLC,2024,2025,67.0,11400.0,3.2456,0.5041,-2.7415,-0.0
ONTBF,2021,2022,34.0,1598.0,18.0225,8.3752,-9.6473,0.0
ONTBF,2022,2023,48.0,1599.0,16.6354,13.2451,-3.3903,0.0
ONTBF,2023,2024,37.0,1943.0,10.036,13.8822,3.8462,0.0
ONTBF,2024,2025,54.0,2490.0,5.8233,1.5284,-4.2949,0.0
ONTBF,2025,2026,47.0,2700.0,5.3822,-1.5371,-6.9193,-0.0
ORAC,2022,2023,63.0,9200.0,8.4783,12.0834,3.6051,-0.0
ORAC,2023,2024,48.0,10850.0,6.0829,7.5299,1.447,-0.0
ORAC,2024,2025,62.0,15200.0,4.6316,-3.634,-8.2656,0.0
ORAC,2025,2026,21.0,15150.0,5.2805,5.1533,-0.1272,-0.0
PRSC,2021,2022,61.0,3545.0,6.3188,12.5667,6.2479,0.0
PRSC,2022,2023,79.0,2890.0,6.3322,15.6325,9.3003,0.0
SHEC,2021,2022,36.0,885.0,5.9887,5.7589,-0.2298,-0.0
SHEC,2022,2023,37.0,835.0,6.8263,-5.8156,-12.6419,0.0
SLBC,2023,2024,424.0,8325.0,12.9009,79.2179,66.317,0.0
SLBC,2024,2025,69.0,17200.0,10.8837,10.8553,-0.0284,0.0
SMBC,2021,2022,64.0,7150.0,10.0699,-5.0744,-15.1443,-0.0
SMBC,2023,2024,108.0,11800.0,5.2203,7.3273,2.107,0.0
SNTS,2021,2022,20.0,15950.0,9.4044,5.7218,-3.6826,-0.2237
SNTS,2022,2023,29.0,15800.0,9.9684,6.842,-3.1264,-0.0
SNTS,2025,2026,39.0,28500.0,6.1053,1.2369,-4.8684,-0.0
SOGC,2021,2022,36.0,6500.0,8.5231,3.9678,-4.5553,0.0
SOGC,2022,2023,34.0,4850.0,4.268,-12.8754,-17.1434,0.0
SOGC,2023,2024,74.0,3145.0,16.7886,35.581,18.7924,0.0
SOGC,2024,2025,56.0,6985.0,7.1868,4.3017,-2.8851,0.0
SPHC,2021,2022,52.0,6000.0,4.9,4.745,-0.155,-0.0
SPHC,2022,2023,109.0,3250.0,2.0,-20.2795,-22.2795,0.0
SPHC,2023,2024,69.0,2375.0,13.6421,33.8715,20.2294,-0.0
SPHC,2024,2025,100.0,4475.0,9.6089,33.4322,23.8233,0.0
STBC,2021,2022,23.0,5900.0,9.1525,10.1152,0.9627,-0.0
STBC,2022,2023,27.0,6330.0,10.6635,16.7486,6.0851,-0.0
STBC,2023,2024,38.0,7000.0,29.8571,24.2021,-5.655,-0.0
STBC,2024,2025,30.0,19500.0,8.7538,-0.5485,-9.3023,0.0
TTLC,2021,2022,70.0,2370.0,7.4262,2.1918,-5.2344,-0.0
TTLC,2022,2023,98.0,2145.0,9.324,4.2211,-5.1029,0.0
TTLC,2023,2024,88.0,2095.0,9.3556,12.2945,2.9389,-0.0
TTLC,2024,2025,76.0,2575.0,5.4369,-10.5774,-16.0143,-0.0
