ticker,fiscal_year,entree_offset,sortie_offset,date_entree,date_sortie,rendement_cycle,benchmark_cycle,alpha_cycle
BOAB,2021,-5,-5,2022-04-08,2022-05-20,-0.1513,-2.1162,1.9649
BOAB,2022,-5,-5,2023-04-09,2023-05-20,1.5323,-1.2324,2.7646
BOAB,2023,-5,-5,2024-04-07,2024-05-22,4.3665,1.9734,2.3931
BOAB,2024,-5,-5,2025-03-28,2025-05-29,4.1489,7.7255,-3.5765
BOAB,2025,-5,-5,2026-04-25,2026-05-10,14.4945,-1.2294,15.7239
BOABF,2021,-5,-5,2022-03-24,2022-04-29,2.3871,2.8012,-0.4141
BOABF,2022,-5,-5,2023-03-25,2023-04-30,1.7544,-2.7178,4.4722
BOABF,2023,-5,-5,2024-03-23,2024-05-01,0.1372,3.1306,-2.9934
BOABF,2024,-5,-5,2025-03-12,2025-04-17,2.3638,1.1097,1.2541
BOABF,2025,-5,-5,2026-03-18,2026-04-18,3.8745,-0.0761,3.9507
BOAC,2021,-5,-5,2022-03-26,2022-04-23,-1.2821,1.7568,-3.0388
BOAC,2022,-5,-5,2023-03-24,2023-04-23,-0.9615,-2.1754,1.2139
BOAC,2023,-5,-5,2024-03-23,2024-04-24,-0.6849,1.2812,-1.9662
BOAC,2024,-5,-5,2025-04-11,2025-05-15,2.9412,7.2478,-4.3066
BOAC,2025,-5,-5,2026-04-10,2026-05-01,8.3726,-1.4876,9.8602
BOAM,2023,-5,-5,2024-04-18,2024-05-16,20.6559,1.6556,19.0002
BOAM,2024,-5,-5,2025-04-05,2025-05-29,20.625,8.4001,12.2249
BOAM,2025,-5,-5,2026-04-09,2026-05-29,9.4624,3.0521,6.4103
BOAN,2021,-5,-5,2022-03-25,2022-05-07,8.0558,-0.4348,8.4905
BOAN,2022,-5,-5,2023-03-25,2023-05-20,-2.3407,-3.1772,0.8364
BOAN,2023,-5,-5,2024-03-30,2024-05-26,-3.2018,3.1455,-6.3474
BOAS,2021,-5,-5,2022-04-10,2022-05-27,-1.1952,-3.1424,1.9472
BOAS,2022,-5,-5,2023-03-26,2023-05-27,23.6779,-4.5929,28.2709
BOAS,2023,-5,-5,2024-04-13,2024-06-22,25.3733,6.1799,19.1934
BOAS,2024,-5,-5,2025-04-03,2025-05-28,14.9367,8.8257,6.111
BOAS,2025,-5,-5,2026-04-25,2026-05-27,12.2464,4.2359,8.0105
CABC,2021,-5,-5,2022-04-02,2022-07-28,8.1448,-1.5505,9.6953
CABC,2025,-5,-5,2026-04-22,2026-05-27,5.2632,4.6388,0.6243
CBIBF,2021,-5,-5,2022-04-02,2022-07-01,-9.6939,-0.2245,-9.4694
CBIBF,2022,-5,-5,2023-04-12,2023-07-01,3.75,-0.2837,4.0337
CBIBF,2023,-5,-5,2024-04-07,2024-06-30,14.1304,6.5666,7.5638
