ticker,duree,n_fenetres,rendement_moyen
BOAB,35,375,1.1987
BOAB,47,374,1.7304
BOAB,70,371,3.1043
BOABF,35,375,1.5779
BOABF,47,374,2.0243
BOABF,70,371,2.8858
BOAC,35,375,1.986
BOAC,47,374,2.5421
BOAC,70,371,3.9968
BOAM,35,367,1.4223
BOAM,47,366,1.8976
BOAM,70,364,2.7179
BOAN,35,375,0.5036
BOAN,47,374,0.5685
BOAN,70,371,0.6281
BOAS,35,375,1.8375
BOAS,47,374,2.6304
BOAS,70,371,4.2788
CABC,35,300,0.067
CABC,47,298,0.0219
CABC,70,292,0.2909
CBIBF,35,347,1.8668
CBIBF,47,346,2.3067
CBIBF,70,344,3.283
CFAC,35,375,1.2057
CFAC,47,374,1.8364
CFAC,70,371,3.3043
CIEC,35,372,3.8124
CIEC,47,371,4.994
CIEC,70,369,9.2581
ECOC,35,312,2.1845
ECOC,47,311,2.8985
ECOC,70,308,4.3862
FTSC,35,375,2.6381
FTSC,47,374,3.0058
FTSC,70,371,5.4106
NSBC,35,317,1.9883
NSBC,47,316,2.6643
NSBC,70,313,4.2227
NTLC,35,375,4.6657
NTLC,47,374,6.5193
NTLC,70,371,10.0991
ONTBF,35,375,0.9866
ONTBF,47,374,1.201
ONTBF,70,371,1.5472
ORAC,35,126,2.4048
ORAC,47,124,2.8375
ORAC,70,122,4.2754
PRSC,35,300,-2.7178
PRSC,47,298,-3.7574
PRSC,70,292,-5.1552
SHEC,35,300,-1.0903
SHEC,47,298,-1.8466
SHEC,70,292,-2.5041
SLBC,35,375,1.5567
SLBC,47,374,2.1683
SLBC,70,371,3.432
SMBC,35,375,1.7381
SMBC,47,374,2.4882
SMBC,70,371,3.9412
SNTS,35,300,0.3018
SNTS,47,298,0.2867
SNTS,70,292,0.0931
SOGC,35,375,7.4245
SOGC,47,374,8.7497
SOGC,70,371,15.7888
SPHC,35,375,2.2796
SPHC,47,374,3.0007
SPHC,70,371,4.8221
STBC,35,375,2.8862
STBC,47,374,8.7755
STBC,70,371,11.6388
TTLC,35,375,0.6819
TTLC,47,374,0.9743
TTLC,70,371,1.2004
