ticker,fiscal_year,offset,duree,date_entree,date_sortie_calc,rendement_cycle
BOAB,2021,-5,35,2022-04-08,2022-05-13,-1.6641
BOAB,2022,-5,35,2023-04-09,2023-05-14,0.0
BOAB,2023,-5,35,2024-04-07,2024-05-12,4.4381
BOAB,2024,-5,35,2025-03-28,2025-05-02,1.0638
BOAB,2025,-5,35,2026-04-25,2026-05-30,15.5298
BOABF,2021,-5,35,2022-03-24,2022-04-28,-3.2258
BOABF,2022,-5,35,2023-03-25,2023-04-29,1.7544
BOABF,2023,-5,35,2024-03-23,2024-04-27,0.1372
BOABF,2024,-5,35,2025-03-12,2025-04-16,-0.1159
BOABF,2025,-5,35,2026-03-18,2026-04-22,11.1993
BOAC,2021,-5,35,2022-03-26,2022-04-30,6.7766
BOAC,2022,-5,35,2023-03-24,2023-04-28,9.3077
BOAC,2023,-5,35,2024-03-23,2024-04-27,8.1918
BOAC,2024,-5,35,2025-04-11,2025-05-16,10.6723
BOAC,2025,-5,35,2026-04-10,2026-05-15,8.4261
BOAM,2023,-5,35,2024-04-18,2024-05-23,24.0937
BOAM,2024,-5,35,2025-04-05,2025-05-10,6.875
BOAM,2025,-5,35,2026-04-09,2026-05-14,0.5376
BOAN,2021,-5,35,2022-03-25,2022-04-29,8.0558
BOAN,2022,-5,35,2023-03-25,2023-04-29,-2.3407
BOAN,2023,-5,35,2024-03-30,2024-05-04,-1.642
BOAS,2021,-5,35,2022-04-10,2022-05-15,-6.3741
BOAS,2022,-5,35,2023-03-26,2023-04-30,11.7241
BOAS,2023,-5,35,2024-04-13,2024-05-18,14.9257
BOAS,2024,-5,35,2025-04-03,2025-05-08,6.2025
BOAS,2025,-5,35,2026-04-25,2026-05-30,15.8696
CABC,2021,-5,35,2022-04-02,2022-05-07,5.4299
CABC,2025,-5,35,2026-04-22,2026-05-27,5.2632
CBIBF,2021,-5,35,2022-04-02,2022-05-07,-2.0408
CBIBF,2022,-5,35,2023-04-12,2023-05-17,0.0
CBIBF,2023,-5,35,2024-04-07,2024-05-12,2.7174
CBIBF,2024,-5,35,2025-04-24,2025-05-29,-6.1033
CBIBF,2025,-5,35,2026-04-11,2026-05-16,30.9539
CFAC,2021,-5,35,2022-06-16,2022-07-21,-4.3956
CFAC,2022,-5,35,2023-06-22,2023-07-27,6.8323
CFAC,2023,-5,35,2024-06-22,2024-07-27,-0.7299
CIEC,2021,-5,35,2022-06-15,2022-07-20,-0.2174
CIEC,2022,-5,35,2023-06-15,2023-07-20,5.5288
CIEC,2023,-5,35,2024-06-21,2024-07-26,8.0
CIEC,2025,-5,35,2026-06-19,2026-07-24,12.5926
ECOC,2021,-5,35,2022-03-31,2022-05-05,0.1782
ECOC,2022,-5,35,2023-04-21,2023-05-26,13.1792
ECOC,2023,-5,35,2024-04-20,2024-05-25,11.5187
ECOC,2024,-5,35,2025-04-24,2025-05-29,24.1132
ECOC,2025,-5,35,2026-04-19,2026-05-24,5.7723
FTSC,2023,-5,35,2024-06-15,2024-07-20,2.1988
NSBC,2022,-5,35,2023-05-14,2023-06-18,3.8198
NSBC,2023,-5,35,2024-05-18,2024-06-22,7.7586
NSBC,2024,-5,35,2025-05-21,2025-06-25,18.6047
NTLC,2021,-5,35,2022-05-15,2022-06-19,-2.7778
NTLC,2022,-5,35,2023-05-07,2023-06-11,-2.5316
NTLC,2023,-5,35,2024-06-06,2024-07-11,-1.2675
NTLC,2024,-5,35,2025-06-07,2025-07-12,5.6305
ONTBF,2021,-5,35,2022-05-07,2022-06-11,-7.8125
ONTBF,2022,-5,35,2023-05-04,2023-06-08,-6.252
ONTBF,2023,-5,35,2024-06-19,2024-07-24,5.0
ONTBF,2024,-5,35,2025-05-23,2025-06-27,-0.777
ONTBF,2025,-5,35,2026-04-24,2026-05-29,4.7794
ORAC,2022,-5,35,2023-04-08,2023-05-13,1.0638
ORAC,2023,-5,35,2024-04-11,2024-05-16,5.1176
ORAC,2024,-5,35,2025-04-05,2025-05-10,2.3102
ORAC,2025,-5,35,2026-05-13,2026-06-17,10.6312
PRSC,2021,-5,35,2022-06-25,2022-07-30,4.9475
PRSC,2022,-5,35,2023-06-21,2023-07-26,5.2632
SHEC,2021,-5,35,2022-09-17,2022-10-22,-2.2599
SHEC,2022,-5,35,2023-11-16,2023-12-21,2.4691
SLBC,2023,-5,35,2024-05-26,2024-06-30,0.0
SLBC,2024,-5,35,2025-05-16,2025-06-20,22.5
SMBC,2021,-5,35,2022-06-16,2022-07-21,-2.0408
SMBC,2023,-5,35,2024-06-09,2024-07-14,2.5424
SNTS,2021,-5,35,2022-04-23,2022-05-28,0.6565
SNTS,2022,-5,35,2023-04-13,2023-05-18,5.506
SNTS,2025,-5,35,2026-04-11,2026-05-16,0.3472
SOGC,2021,-5,35,2022-06-10,2022-07-15,-0.7692
SOGC,2022,-5,35,2023-06-08,2023-07-13,-14.2743
SOGC,2023,-5,35,2024-05-19,2024-06-23,16.4062
SOGC,2024,-5,35,2025-05-15,2025-06-19,26.0193
SPHC,2021,-5,35,2022-06-08,2022-07-13,7.7586
SPHC,2022,-5,35,2023-06-07,2023-07-12,-15.1376
SPHC,2023,-5,35,2024-05-30,2024-07-04,20.4167
SPHC,2024,-5,35,2025-04-03,2025-05-08,22.9947
STBC,2021,-5,35,2022-06-23,2022-07-28,6.1688
STBC,2022,-5,35,2023-06-25,2023-07-30,15.6275
STBC,2023,-5,35,2024-06-16,2024-07-21,-4.7619
STBC,2024,-5,35,2025-07-25,2025-08-29,3.0608
TTLC,2021,-5,35,2022-06-11,2022-07-16,-0.6772
TTLC,2022,-5,35,2023-06-10,2023-07-15,6.9048
TTLC,2023,-5,35,2024-06-16,2024-07-21,5.8394
TTLC,2024,-5,35,2025-06-14,2025-07-19,-4.6904
BOAB,2021,-5,47,2022-04-08,2022-05-25,-2.4811
BOAB,2022,-5,47,2023-04-09,2023-05-26,4.129
BOAB,2023,-5,47,2024-04-07,2024-05-24,13.4717
BOAB,2024,-5,47,2025-03-28,2025-05-14,-0.5319
BOAB,2025,-5,47,2026-04-25,2026-06-11,11.8758
BOABF,2021,-5,47,2022-03-24,2022-05-10,-4.0645
BOABF,2022,-5,47,2023-03-25,2023-05-11,5.3333
BOABF,2023,-5,47,2024-03-23,2024-05-09,1.5912
BOABF,2024,-5,47,2025-03-12,2025-04-28,-7.3696
BOABF,2025,-5,47,2026-03-18,2026-05-04,11.5683
BOAC,2021,-5,47,2022-03-26,2022-05-12,1.3736
BOAC,2022,-5,47,2023-03-24,2023-05-10,5.2692
BOAC,2023,-5,47,2024-03-23,2024-05-09,2.9863
BOAC,2024,-5,47,2025-04-11,2025-05-28,9.8319
BOAC,2025,-5,47,2026-04-10,2026-05-27,11.0794
BOAM,2023,-5,47,2024-04-18,2024-06-04,23.1562
BOAM,2024,-5,47,2025-04-05,2025-05-22,17.7083
BOAM,2025,-5,47,2026-04-09,2026-05-26,7.5269
BOAN,2021,-5,47,2022-03-25,2022-05-11,16.8551
BOAN,2022,-5,47,2023-03-25,2023-05-11,-1.5336
BOAN,2023,-5,47,2024-03-30,2024-05-16,-5.4187
BOAS,2021,-5,47,2022-04-10,2022-05-27,-1.1952
BOAS,2022,-5,47,2023-03-26,2023-05-12,14.9428
BOAS,2023,-5,47,2024-04-13,2024-05-30,17.9105
BOAS,2024,-5,47,2025-04-03,2025-05-20,6.3291
BOAS,2025,-5,47,2026-04-25,2026-06-11,13.0435
CABC,2021,-5,47,2022-04-02,2022-05-19,3.6199
CABC,2025,-5,47,2026-04-22,2026-06-08,17.5539
CBIBF,2021,-5,47,2022-04-02,2022-05-19,-6.1224
CBIBF,2022,-5,47,2023-04-12,2023-05-29,-1.25
CBIBF,2023,-5,47,2024-04-07,2024-05-24,15.2174
CBIBF,2024,-5,47,2025-04-24,2025-06-10,-6.1033
CBIBF,2025,-5,47,2026-04-11,2026-05-28,41.2171
CFAC,2021,-5,47,2022-06-16,2022-08-02,-5.0549
CFAC,2022,-5,47,2023-06-22,2023-08-08,15.528
CFAC,2023,-5,47,2024-06-22,2024-08-08,-2.9197
CIEC,2021,-5,47,2022-06-15,2022-08-01,6.8696
CIEC,2022,-5,47,2023-06-15,2023-08-01,13.9904
CIEC,2023,-5,47,2024-06-21,2024-08-07,6.481
ECOC,2021,-5,47,2022-03-31,2022-05-17,-4.4752
ECOC,2022,-5,47,2023-04-21,2023-06-07,12.9865
ECOC,2023,-5,47,2024-04-20,2024-06-06,16.0382
ECOC,2024,-5,47,2025-04-24,2025-06-10,12.9965
ECOC,2025,-5,47,2026-04-19,2026-06-05,6.0492
FTSC,2023,-5,47,2024-06-15,2024-08-01,6.2273
NSBC,2022,-5,47,2023-05-14,2023-06-30,2.7424
NSBC,2023,-5,47,2024-05-18,2024-07-04,19.931
NSBC,2024,-5,47,2025-05-21,2025-07-07,22.3953
NTLC,2021,-5,47,2022-05-15,2022-07-01,-0.2778
NTLC,2022,-5,47,2023-05-07,2023-06-23,-3.1646
NTLC,2023,-5,47,2024-06-06,2024-07-23,0.0667
NTLC,2024,-5,47,2025-06-07,2025-07-24,9.8185
ONTBF,2021,-5,47,2022-05-07,2022-06-23,9.25
ONTBF,2022,-5,47,2023-05-04,2023-06-20,-5.2829
ONTBF,2023,-5,47,2024-06-19,2024-08-05,16.7526
ONTBF,2024,-5,47,2025-05-23,2025-07-09,-0.3786
ONTBF,2025,-5,47,2026-04-24,2026-06-10,8.4559
ORAC,2022,-5,47,2023-04-08,2023-05-25,2.0213
ORAC,2023,-5,47,2024-04-11,2024-05-28,8.7598
ORAC,2024,-5,47,2025-04-05,2025-05-22,4.0594
ORAC,2025,-5,47,2026-05-13,2026-06-29,16.2791
PRSC,2021,-5,47,2022-06-25,2022-08-11,13.943
PRSC,2022,-5,47,2023-06-21,2023-08-07,8.0702
SHEC,2021,-5,47,2022-09-17,2022-11-03,2.0339
SHEC,2022,-5,47,2023-11-16,2024-01-02,4.5679
SLBC,2023,-5,47,2024-05-26,2024-07-12,0.0
SLBC,2024,-5,47,2025-05-16,2025-07-02,15.2667
SMBC,2021,-5,47,2022-06-16,2022-08-02,-4.898
SMBC,2023,-5,47,2024-06-09,2024-07-26,10.1695
SNTS,2021,-5,47,2022-04-23,2022-06-09,0.6877
SNTS,2022,-5,47,2023-04-13,2023-05-30,5.506
SNTS,2025,-5,47,2026-04-11,2026-05-28,4.8264
SOGC,2021,-5,47,2022-06-10,2022-07-27,2.3692
SOGC,2022,-5,47,2023-06-08,2023-07-25,-14.2743
SOGC,2023,-5,47,2024-05-19,2024-07-05,15.625
SOGC,2024,-5,47,2025-05-15,2025-07-01,20.8302
SPHC,2021,-5,47,2022-06-08,2022-07-25,5.1724
SPHC,2022,-5,47,2023-06-07,2023-07-24,-8.4098
SPHC,2023,-5,47,2024-05-30,2024-07-16,25.0
SPHC,2024,-5,47,2025-04-03,2025-05-20,30.4813
STBC,2021,-5,47,2022-06-23,2022-08-09,2.8409
STBC,2022,-5,47,2023-06-25,2023-08-11,10.9708
STBC,2023,-5,47,2024-06-16,2024-08-02,19.5918
STBC,2024,-5,47,2025-07-25,2025-09-10,3.0608
TTLC,2021,-5,47,2022-06-11,2022-07-28,3.8375
TTLC,2022,-5,47,2023-06-10,2023-07-27,7.8571
TTLC,2023,-5,47,2024-06-16,2024-08-02,9.7324
TTLC,2024,-5,47,2025-06-14,2025-07-31,-5.2533
BOAB,2021,-5,70,2022-04-08,2022-06-17,0.5446
BOAB,2022,-5,70,2023-04-09,2023-06-18,2.4355
BOAB,2023,-5,70,2024-04-07,2024-06-16,3.5934
BOAB,2024,-5,70,2025-03-28,2025-06-06,7.766
BOAB,2025,-5,70,2026-04-25,2026-07-04,17.9659
BOABF,2021,-5,70,2022-03-24,2022-06-02,-4.0645
BOABF,2022,-5,70,2023-03-25,2023-06-03,10.2456
BOABF,2023,-5,70,2024-03-23,2024-06-01,1.0425
BOABF,2024,-5,70,2025-03-12,2025-05-21,-7.4855
BOABF,2025,-5,70,2026-03-18,2026-05-27,8.8007
BOAC,2021,-5,70,2022-03-26,2022-06-04,3.2967
BOAC,2022,-5,70,2023-03-24,2023-06-02,10.1731
BOAC,2023,-5,70,2024-03-23,2024-06-01,9.4247
BOAC,2024,-5,70,2025-04-11,2025-06-20,15.8824
BOAC,2025,-5,70,2026-04-10,2026-06-19,18.9213
BOAM,2023,-5,70,2024-04-18,2024-06-27,20.3437
BOAM,2024,-5,70,2025-04-05,2025-06-14,37.7083
BOAM,2025,-5,70,2026-04-09,2026-06-18,2.1514
BOAN,2021,-5,70,2022-03-25,2022-06-03,9.4964
BOAN,2022,-5,70,2023-03-25,2023-06-03,3.2217
BOAN,2023,-5,70,2024-03-30,2024-06-08,-6.0033
BOAS,2021,-5,70,2022-04-10,2022-06-19,3.0879
BOAS,2022,-5,70,2023-03-26,2023-06-04,31.2641
BOAS,2023,-5,70,2024-04-13,2024-06-22,25.3733
BOAS,2024,-5,70,2025-04-03,2025-06-12,15.1899
BOAS,2025,-5,70,2026-04-25,2026-07-04,13.0435
CABC,2021,-5,70,2022-04-02,2022-06-11,-6.7873
CABC,2025,-5,70,2026-04-22,2026-07-01,32.3477
CBIBF,2021,-5,70,2022-04-02,2022-06-11,-3.6224
CBIBF,2022,-5,70,2023-04-12,2023-06-21,-1.375
CBIBF,2023,-5,70,2024-04-07,2024-06-16,13.0435
CBIBF,2024,-5,70,2025-04-24,2025-07-03,0.0
CBIBF,2025,-5,70,2026-04-11,2026-06-20,47.3684
CFAC,2021,-5,70,2022-06-16,2022-08-25,-4.5055
CFAC,2022,-5,70,2023-06-22,2023-08-31,14.2857
CFAC,2023,-5,70,2024-06-22,2024-08-31,1.0219
CIEC,2021,-5,70,2022-06-15,2022-08-24,0.1304
CIEC,2022,-5,70,2023-06-15,2023-08-24,8.9423
CIEC,2023,-5,70,2024-06-21,2024-08-30,11.7975
ECOC,2021,-5,70,2022-03-31,2022-06-09,-0.4158
ECOC,2022,-5,70,2023-04-21,2023-06-30,13.2755
ECOC,2023,-5,70,2024-04-20,2024-06-29,12.9567
ECOC,2024,-5,70,2025-04-24,2025-07-03,24.1132
ECOC,2025,-5,70,2026-04-19,2026-06-28,11.0031
FTSC,2023,-5,70,2024-06-15,2024-08-24,5.8619
NSBC,2022,-5,70,2023-05-14,2023-07-23,22.5269
NSBC,2023,-5,70,2024-05-18,2024-07-27,15.0172
NSBC,2024,-5,70,2025-05-21,2025-07-30,20.5349
NTLC,2021,-5,70,2022-05-15,2022-07-24,-0.2083
NTLC,2022,-5,70,2023-05-07,2023-07-16,2.4684
NTLC,2023,-5,70,2024-06-06,2024-08-15,0.0667
NTLC,2024,-5,70,2025-06-07,2025-08-16,16.054
ONTBF,2021,-5,70,2022-05-07,2022-07-16,8.5625
ONTBF,2022,-5,70,2023-05-04,2023-07-13,14.7234
ONTBF,2023,-5,70,2024-06-19,2024-08-28,25.7732
ONTBF,2024,-5,70,2025-05-23,2025-08-01,5.3995
ONTBF,2025,-5,70,2026-04-24,2026-07-03,8.4676
ORAC,2022,-5,70,2023-04-08,2023-06-17,8.883
ORAC,2023,-5,70,2024-04-11,2024-06-20,14.7994
ORAC,2024,-5,70,2025-04-05,2025-06-14,7.6172
ORAC,2025,-5,70,2026-05-13,2026-07-22,11.6279
PRSC,2021,-5,70,2022-06-25,2022-09-03,13.1634
PRSC,2022,-5,70,2023-06-21,2023-08-30,15.7895
SHEC,2021,-5,70,2022-09-17,2022-11-26,-7.0056
SHEC,2022,-5,70,2023-11-16,2024-01-25,4.5679
SLBC,2023,-5,70,2024-05-26,2024-08-04,0.0
SLBC,2024,-5,70,2025-05-16,2025-07-25,36.48
SMBC,2021,-5,70,2022-06-16,2022-08-25,-9.4558
SMBC,2023,-5,70,2024-06-09,2024-08-18,11.8644
SNTS,2021,-5,70,2022-04-23,2022-07-02,-0.3126
SNTS,2022,-5,70,2023-04-13,2023-06-22,7.3202
SNTS,2025,-5,70,2026-04-11,2026-06-20,3.7847
SOGC,2021,-5,70,2022-06-10,2022-08-19,0.6769
SOGC,2022,-5,70,2023-06-08,2023-08-17,-17.978
SOGC,2023,-5,70,2024-05-19,2024-07-28,21.0938
SOGC,2024,-5,70,2025-05-15,2025-07-24,15.5226
SPHC,2021,-5,70,2022-06-08,2022-08-17,5.069
SPHC,2022,-5,70,2023-06-07,2023-08-16,-5.1988
SPHC,2023,-5,70,2024-05-30,2024-08-08,34.3333
SPHC,2024,-5,70,2025-04-03,2025-06-12,33.9037
STBC,2021,-5,70,2022-06-23,2022-09-01,-8.4416
STBC,2022,-5,70,2023-06-25,2023-09-03,10.1026
STBC,2023,-5,70,2024-06-16,2024-08-25,22.3129
STBC,2024,-5,70,2025-07-25,2025-10-03,4.5111
TTLC,2021,-5,70,2022-06-11,2022-08-20,2.2573
TTLC,2022,-5,70,2023-06-10,2023-08-19,2.381
TTLC,2023,-5,70,2024-06-16,2024-08-25,18.0049
TTLC,2024,-5,70,2025-06-14,2025-08-23,-3.1895
BOAB,2021,0,35,2022-04-13,2022-05-18,-2.4206
BOAB,2022,0,35,2023-04-14,2023-05-19,1.6142
BOAB,2023,0,35,2024-04-12,2024-05-17,5.1576
BOAB,2024,0,35,2025-04-02,2025-05-07,1.38
BOAB,2025,0,35,2026-04-30,2026-06-04,5.3341
BOABF,2021,0,35,2022-03-29,2022-05-03,4.0656
BOABF,2022,0,35,2023-03-30,2023-05-04,10.8883
BOABF,2023,0,35,2024-03-28,2024-05-02,2.8811
BOABF,2024,0,35,2025-03-17,2025-04-21,1.9026
BOABF,2025,0,35,2026-03-23,2026-04-27,7.4513
BOAC,2021,0,35,2022-03-31,2022-05-05,3.6145
BOAC,2022,0,35,2023-03-29,2023-05-03,8.1097
BOAC,2023,0,35,2024-03-28,2024-05-02,5.4746
BOAC,2024,0,35,2025-04-16,2025-05-21,8.25
BOAC,2025,0,35,2026-04-15,2026-05-20,12.8768
BOAM,2023,0,35,2024-04-23,2024-05-28,23.5597
BOAM,2024,0,35,2025-04-10,2025-05-15,6.0
BOAM,2025,0,35,2026-04-14,2026-05-19,2.4017
BOAN,2021,0,35,2022-03-30,2022-05-04,5.7619
BOAN,2022,0,35,2023-03-30,2023-05-04,-1.6393
BOAN,2023,0,35,2024-04-04,2024-05-09,-1.6667
BOAS,2021,0,35,2022-04-15,2022-05-20,1.429
BOAS,2022,0,35,2023-03-31,2023-05-05,13.8957
BOAS,2023,0,35,2024-04-18,2024-05-23,7.972
BOAS,2024,0,35,2025-04-08,2025-05-13,-1.8692
BOAS,2025,0,35,2026-04-30,2026-06-04,12.8571
CABC,2021,0,35,2022-04-07,2022-05-12,5.9091
CABC,2025,0,35,2026-04-27,2026-06-01,1.445
CBIBF,2021,0,35,2022-04-07,2022-05-12,-2.0419
CBIBF,2022,0,35,2023-04-17,2023-05-22,0.0626
CBIBF,2023,0,35,2024-04-12,2024-05-17,9.3923
CBIBF,2024,0,35,2025-04-29,2025-06-03,7.0918
CBIBF,2025,0,35,2026-04-16,2026-05-21,30.5732
CFAC,2021,0,35,2022-06-21,2022-07-26,0.578
CFAC,2022,0,35,2023-06-27,2023-08-01,8.0745
CFAC,2023,0,35,2024-06-27,2024-08-01,0.0
CIEC,2021,0,35,2022-06-20,2022-07-25,1.617
CIEC,2022,0,35,2023-06-20,2023-07-25,7.6923
CIEC,2023,0,35,2024-06-26,2024-07-31,1.3793
CIEC,2025,0,35,2026-06-24,2026-07-29,10.7908
ECOC,2021,0,35,2022-04-05,2022-05-10,0.98
ECOC,2022,0,35,2023-04-26,2023-05-31,9.0892
ECOC,2023,0,35,2024-04-25,2024-05-30,16.058
ECOC,2024,0,35,2025-04-29,2025-06-03,10.8797
ECOC,2025,0,35,2026-04-24,2026-05-29,7.425
