ticker,fiscal_year,date_annonce,date_paiement,date_entree,date_sortie,gap_entree_jours,gap_sortie_jours,dividende_encaisse,rendement_cycle,benchmark_cycle,alpha_cycle
BOAB,2021,2022-04-13,2022-05-25,2022-04-13,2022-05-25,0,0,273.0,-2.4811,-3.5227,1.0416
BOAB,2022,2023-04-14,2023-05-25,2023-04-14,2023-05-25,0,0,353.0,5.0202,-2.1947,7.2148
BOAB,2023,2024-04-12,2024-05-27,2024-04-12,2024-05-27,0,0,468.0,14.4126,3.6905,10.7221
BOAB,2024,2025-04-02,2025-06-03,2025-04-02,2025-06-03,0,0,585.0,3.7155,9.1773,-5.4618
BOAB,2025,2026-04-30,2026-05-15,2026-04-30,2026-05-15,0,0,585.0,12.2403,0.1819,12.0584
BOABF,2021,2022-03-29,2022-05-04,2022-03-29,2022-05-04,0,0,224.0,3.2459,-0.9919,4.2378
BOABF,2022,2023-03-30,2023-05-05,2023-03-30,2023-05-05,0,0,352.0,10.8883,-1.0186,11.9069
BOABF,2023,2024-03-28,2024-05-06,2024-03-28,2024-05-06,0,0,428.0,4.2098,0.5972,3.6126
BOABF,2024,2025-03-17,2025-04-22,2025-03-17,2025-04-22,0,0,397.0,-0.4176,0.3951,-0.8128
BOABF,2025,2026-03-23,2026-04-23,2026-03-19,2026-04-23,4,0,397.0,7.8221,0.4361,7.386
BOAC,2021,2022-03-31,2022-04-28,2022-03-31,2022-04-27,0,1,270.0,8.1557,0.6459,7.5098
BOAC,2022,2023-03-29,2023-04-28,2023-03-29,2023-04-28,0,0,342.0,11.3418,-1.68,13.0218
BOAC,2023,2024-03-28,2024-04-29,2024-03-28,2024-04-29,0,0,459.0,6.7125,0.9988,5.7138
BOAC,2024,2025-04-16,2025-05-20,2025-04-16,2025-05-20,0,0,595.0,9.75,7.7242,2.0258
BOAC,2025,2026-04-15,2026-05-06,2026-04-15,2026-05-06,0,0,594.53,8.0533,-2.511,10.5643
BOAM,2023,2024-04-23,2024-05-21,2024-04-23,2024-05-21,0,0,237.0,19.5352,0.7859,18.7493
BOAM,2024,2025-04-10,2025-06-03,2025-04-10,2025-06-03,0,0,305.0,16.2,9.8429,6.3571
BOAM,2025,2026-04-14,2026-06-03,2026-04-14,2026-06-02,0,1,305.04,15.8306,4.5311,11.2995
BOAN,2021,2022-03-30,2022-05-12,2022-03-30,2022-05-12,0,0,355.0,14.1469,-2.5355,16.6825
BOAN,2022,2023-03-30,2023-05-25,2023-03-30,2023-05-25,0,0,381.0,1.7149,-2.2882,4.0031
BOAN,2023,2024-04-04,2024-05-31,2024-04-04,2024-05-31,0,0,209.0,-3.5933,2.7794,-6.3727
BOAS,2021,2022-04-15,2022-06-01,2022-04-15,2022-06-01,0,0,125.0,8.4698,-1.7115,10.1813
BOAS,2022,2023-03-31,2023-06-01,2023-03-31,2023-06-01,0,0,200.0,30.98,-3.4028,34.3828
BOAS,2023,2024-04-18,2024-06-27,2024-04-18,2024-06-27,0,0,350.0,22.3779,5.6065,16.7714
BOAS,2024,2025-04-08,2025-06-02,2025-04-08,2025-06-02,0,0,450.0,3.7383,9.4719,-5.7336
BOAS,2025,2026-04-30,2026-06-01,2026-04-30,2026-06-01,0,0,450.0,15.0,5.0742,9.9258
CABC,2021,2022-04-07,2022-08-02,2022-04-07,2022-08-02,0,0,69.0,6.2727,-1.1826,7.4553
CABC,2025,2026-04-27,2026-06-01,2026-04-27,2026-06-01,0,0,152.02,1.445,6.5554,-5.1104
CBIBF,2021,2022-04-07,2022-07-06,2022-04-07,2022-07-06,0,0,525.0,-3.8285,1.3439,-5.1724
CBIBF,2022,2023-04-17,2023-07-06,2023-04-17,2023-07-06,0,0,790.0,13.5169,-0.2865,13.8034
CBIBF,2023,2024-04-12,2024-07-05,2024-04-12,2024-07-05,0,0,555.0,21.2155,5.922,15.2935
CBIBF,2024,2025-04-29,2025-07-07,2025-04-29,2025-07-07,0,0,900.0,9.7449,12.7197,-2.9748
CBIBF,2025,2026-04-16,2026-06-19,2026-04-16,2026-06-19,0,0,900.0,48.4076,12.4946,35.9131
CFAC,2021,2022-06-21,2022-08-02,2022-06-21,2022-08-02,0,0,29.0,-0.1156,0.0289,-0.1445
CFAC,2022,2023-06-27,2023-09-15,2023-06-27,2023-09-15,0,0,16.0,13.7888,4.1383,9.6505
CFAC,2023,2024-06-27,2024-08-30,2024-06-27,2024-08-29,0,1,7.0,3.2836,8.3695,-5.0859
CIEC,2021,2022-06-20,2022-07-25,2022-06-20,2022-07-25,0,0,158.0,1.617,0.4556,1.1614
CIEC,2022,2023-06-20,2023-07-31,2023-06-20,2023-07-31,0,0,171.0,13.9904,4.7057,9.2847
CIEC,2023,2024-06-26,2024-07-30,2024-06-26,2024-07-30,0,0,158.0,2.8571,2.7206,0.1366
CIEC,2025,2026-06-24,2026-07-01,2026-06-24,2026-07-01,0,0,234.0,11.0911,2.4494,8.6417
ECOC,2021,2022-04-05,2022-04-29,2022-04-05,2022-04-29,0,0,549.0,4.88,1.8267,3.0533
ECOC,2022,2023-04-26,2023-05-30,2023-04-26,2023-05-30,0,0,594.0,9.1822,-1.523,10.7052
ECOC,2023,2024-04-25,2024-05-30,2024-04-25,2024-05-30,0,0,708.0,16.058,1.8272,14.2307
ECOC,2024,2025-04-29,2025-05-30,2025-04-29,2025-05-30,0,0,781.0,20.637,7.0123,13.6247
ECOC,2025,2026-04-24,2026-05-22,2026-04-24,2026-05-22,0,0,888.0,7.425,4.2199,3.2051
FTSC,2023,2024-06-20,2024-09-30,2024-06-20,2024-09-30,0,0,1727.0,232.863,12.2549,220.608
NSBC,2022,2023-05-19,2023-07-07,2023-05-19,2023-07-07,0,0,455.0,16.3725,1.3841,14.9884
NSBC,2023,2024-05-23,2024-07-08,2024-05-23,2024-07-08,0,0,671.0,17.6034,3.8454,13.758
NSBC,2024,2025-05-26,2025-07-09,2025-05-26,2025-07-09,0,0,676.0,20.2796,4.1334,16.1461
NTLC,2021,2022-05-20,2022-08-02,2022-05-20,2022-08-02,0,0,728.0,7.4714,1.6865,5.785
NTLC,2022,2023-05-12,2023-08-08,2023-05-12,2023-08-08,0,0,675.0,17.6284,2.9649,14.6635
NTLC,2023,2024-06-11,2024-08-20,2024-06-11,2024-08-20,0,0,722.0,5.3636,5.5181,-0.1545
NTLC,2024,2025-06-12,2025-08-18,2025-06-12,2025-08-18,0,0,370.0,10.2632,9.759,0.5041
ONTBF,2021,2022-05-12,2022-06-15,2022-05-12,2022-06-15,0,0,288.0,9.418,1.0428,8.3752
ONTBF,2022,2023-05-09,2023-06-26,2023-05-09,2023-06-26,0,0,266.0,12.3202,-0.9249,13.2451
ONTBF,2023,2024-06-24,2024-07-31,2024-06-24,2024-07-31,0,0,195.0,16.5723,2.6901,13.8822
ONTBF,2024,2025-05-28,2025-07-21,2025-05-28,2025-07-21,0,0,145.0,7.6305,6.1021,1.5284
ONTBF,2025,2026-04-29,2026-06-15,2026-04-29,2026-06-15,0,0,145.32,9.6415,11.1785,-1.5371
ORAC,2022,2023-04-13,2023-06-15,2023-04-13,2023-06-15,0,0,780.0,9.6196,-2.4638,12.0834
ORAC,2023,2024-04-16,2024-06-03,2024-04-16,2024-06-03,0,0,660.0,11.9355,4.4056,7.5299
ORAC,2024,2025-04-10,2025-06-11,2025-04-10,2025-06-11,0,0,704.0,8.25,11.884,-3.634
ORAC,2025,2026-05-18,2026-06-08,2026-05-18,2026-06-08,0,0,800.0,12.7063,7.5529,5.1533
PRSC,2021,2022-06-30,2022-08-30,2022-06-30,2022-08-30,0,0,224.0,10.6911,-1.8755,12.5667
PRSC,2022,2023-06-26,2023-09-13,2023-06-26,2023-09-13,0,0,183.0,20.519,4.8866,15.6325
SHEC,2021,2022-09-22,2022-10-28,2022-09-22,2022-10-28,0,0,53.0,4.8588,-0.9001,5.7589
SHEC,2022,2023-11-21,2023-12-28,2023-11-21,2023-12-28,0,0,57.0,-3.9521,1.8635,-5.8156
SLBC,2023,2024-05-31,2025-07-29,2024-05-31,2025-07-29,0,0,1074.0,141.1291,61.9112,79.2179
SLBC,2024,2025-05-21,2025-07-29,2025-05-21,2025-07-29,0,0,1872.0,21.3488,10.4936,10.8553
SMBC,2021,2022-06-21,2022-08-24,2022-06-21,2022-08-24,0,0,720.0,-6.993,-1.9186,-5.0744
SMBC,2023,2024-06-14,2024-09-30,2024-06-14,2024-09-30,0,0,616.0,19.9661,12.6388,7.3273
SNTS,2021,2022-04-28,2022-05-18,2022-04-27,2022-05-18,1,0,1500.0,1.9478,-3.774,5.7218
SNTS,2022,2023-04-18,2023-05-17,2023-04-17,2023-05-17,1,0,1575.0,4.9051,-1.9369,6.842
SNTS,2025,2026-04-16,2026-05-25,2026-04-16,2026-05-25,0,0,1740.0,6.1053,4.8684,1.2369
SOGC,2021,2022-06-15,2022-07-21,2022-06-15,2022-07-21,0,0,554.0,4.9846,1.0168,3.9678
SOGC,2022,2023-06-13,2023-07-17,2023-06-13,2023-07-17,0,0,207.0,-8.2062,4.6692,-12.8754
SOGC,2023,2024-05-24,2024-08-06,2024-05-24,2024-08-06,0,0,528.0,40.7949,5.2139,35.581
SOGC,2024,2025-05-20,2025-07-15,2025-05-20,2025-07-15,0,0,502.0,9.9069,5.6052,4.3017
SPHC,2021,2022-06-13,2022-08-04,2022-06-13,2022-08-04,0,0,294.0,4.8167,0.0717,4.745
SPHC,2022,2023-06-12,2023-09-29,2023-06-12,2023-09-29,0,0,65.0,-14.9231,5.3564,-20.2795
SPHC,2023,2024-06-04,2024-08-12,2024-06-04,2024-08-12,0,0,324.0,39.7474,5.8759,33.8715
SPHC,2024,2025-04-08,2025-07-17,2025-04-08,2025-07-17,0,0,430.0,48.1564,14.7242,33.4322
STBC,2021,2022-06-28,2022-07-21,2022-06-28,2022-07-21,0,0,540.0,10.8475,0.7322,10.1152
STBC,2022,2023-06-30,2023-07-27,2023-06-30,2023-07-27,0,0,675.0,18.0885,1.3398,16.7486
STBC,2023,2024-06-21,2024-07-29,2024-06-21,2024-07-29,0,0,2090.0,26.7143,2.5122,24.2021
STBC,2024,2025-07-30,2025-08-29,2025-07-30,2025-08-29,0,0,1707.0,5.6769,6.2255,-0.5485
TTLC,2021,2022-06-16,2022-08-25,2022-06-16,2022-08-25,0,0,176.0,0.2532,-1.9387,2.1918
TTLC,2022,2023-06-15,2023-09-21,2023-06-15,2023-09-21,0,0,200.0,9.7902,5.5691,4.2211
TTLC,2023,2024-06-21,2024-09-17,2024-06-21,2024-09-17,0,0,196.0,23.1981,10.9036,12.2945
TTLC,2024,2025-06-19,2025-09-03,2025-06-19,2025-09-03,0,0,140.0,0.1942,10.7716,-10.5774
