ticker,n_cycles,rendement_median,alpha_median,pct_gagnants
FTSC,1,232.863,220.608,100.0
SLBC,2,81.239,45.0366,100.0
SPHC,4,22.282,19.0886,75.0
NSBC,3,17.6034,14.9884,100.0
PRSC,2,15.605,14.0996,100.0
CBIBF,5,13.5169,13.8034,80.0
STBC,4,14.468,13.4319,100.0
BOAM,3,16.2,11.2995,100.0
ECOC,5,9.1822,10.7052,100.0
BOAS,5,15.0,10.1813,100.0
ONTBF,5,9.6415,8.3752,100.0
BOAC,5,8.1557,7.5098,100.0
BOAB,5,5.0202,7.2148,80.0
ORAC,4,10.7775,6.3416,100.0
SNTS,3,4.9051,5.7218,100.0
CIEC,4,6.9741,4.9016,100.0
BOABF,5,4.2098,4.2378,80.0
SOGC,4,7.4458,4.1348,75.0
BOAN,3,1.7149,4.0031,66.7
TTLC,4,5.0217,3.2065,100.0
NTLC,4,8.8673,3.1446,100.0
CABC,2,3.8589,1.1724,100.0
SMBC,2,6.4866,1.1265,50.0
SHEC,2,0.4533,-0.0284,50.0
CFAC,3,3.2836,-0.1445,66.7
