ticker,ex_date,annonce,pre45_%,pre30_%,decrochage_%,ex_to_30_%,ex_to_45_%,recup_30_vs_pre_%,recup_45_vs_pre_%
BOAC,2022-04-26,,,,-1.38,-12.93,-6.05,-14.13,-7.34
BOAC,2023-04-26,,,,-9.91,4.58,12.2,-5.79,1.08
BOAC,2024-04-25,,,,-3.52,0.07,1.07,-3.45,-2.48
BOAC,2025-05-16,,,,-2.2,0.33,2.17,-1.88,-0.08
BOAC,2026-05-05,,,,-3.7,-0.11,7.23,-3.81,3.26
BOAB,2022-05-23,,,,0.0,-4.39,-2.82,-4.39,-2.82
BOAB,2023-05-23,,,,-8.43,3.1,0.69,-5.59,-7.8
BOAB,2024-05-23,,,,-4.05,-6.0,-3.5,-9.81,-7.41
BOAB,2025-05-30,,,,-6.03,-2.17,-5.65,-8.07,-11.34
BOAB,2026-05-14,,,,-0.11,-6.7,-4.09,-6.79,-4.19
BOAB,2026-05-22,,,,0.16,-6.05,-3.4,-5.9,-3.24
SNTS,2022-05-16,,,,0.0,-6.17,-6.91,-6.17,-6.91
SNTS,2023-05-15,,,,0.0,0.0,2.0,0.0,2.0
SNTS,2024-05-15,,,,,,,,
SNTS,2025-05-20,,,,,,,,
SNTS,2026-05-22,,,,0.17,-2.6,2.08,-2.43,2.25
